iter	Passed	Remaining
0	148	148584
1	149	74586
2	150	49859
3	150	37482
4	151	30056
5	151	25106
6	152	21570
7	152	18916
8	153	16854
9	153	15202
10	154	13850
11	154	12724
12	155	11775
13	155	10958
14	156	10249
15	156	9632
16	157	9086
17	157	8600
18	158	8165
19	158	7775
20	159	7421
21	159	7099
22	160	6804
23	160	6534
24	161	6286
25	161	6056
26	162	5843
27	162	5645
28	163	5461
29	163	5290
30	164	5131
31	164	4981
32	165	4841
33	165	4707
34	166	4583
35	166	4464
36	167	4352
37	167	4246
38	168	4145
39	168	4049
40	169	3957
41	169	3870
42	170	3787
43	170	3708
44	171	3632
45	171	3560
46	172	3490
47	172	3424
48	173	3360
49	173	3299
50	174	3240
51	174	3183
52	175	3129
53	175	3076
54	176	3025
55	176	2976
56	177	2929
57	177	2883
58	178	2839
59	178	2796
60	179	2755
61	179	2717
62	180	2681
63	180	2645
64	181	2609
65	181	2574
66	182	2540
67	182	2506
68	183	2474
69	183	2442
70	184	2412
71	184	2382
72	185	2353
73	185	2325
74	186	2297
75	186	2271
76	187	2245
77	187	2219
78	188	2194
79	188	2170
80	189	2146
81	189	2123
82	189	2098
83	190	2076
84	190	2055
85	191	2034
86	191	2014
87	192	1993
88	192	1974
89	193	1955
90	194	1938
91	194	1921
92	195	1904
93	195	1888
94	196	1872
95	197	1855
96	197	1840
97	198	1824
98	198	1808
99	199	1792
100	199	1777
101	200	1762
102	200	1747
103	201	1732
104	201	1718
105	202	1704
106	202	1691
107	203	1677
108	203	1664
109	204	1651
110	204	1638
111	205	1626
112	205	1613
113	206	1601
114	206	1589
115	207	1577
116	207	1565
117	207	1553
118	208	1542
119	208	1531
120	209	1520
121	209	1509
122	210	1499
123	210	1488
124	211	1478
125	211	1468
126	212	1458
127	212	1448
128	213	1438
129	213	1429
130	214	1419
131	214	1410
132	215	1401
133	215	1392
134	215	1383
135	216	1375
136	216	1366
137	217	1358
138	217	1349
139	218	1341
140	218	1333
141	219	1324
142	219	1316
143	220	1309
144	220	1301
145	221	1293
146	221	1286
147	222	1279
148	222	1271
149	223	1264
150	223	1257
151	224	1250
152	224	1243
153	225	1236
154	225	1230
155	226	1223
156	226	1216
157	227	1210
158	227	1203
159	228	1197
160	228	1190
161	228	1183
162	229	1177
163	229	1171
164	230	1165
165	230	1159
166	231	1153
167	231	1147
168	232	1142
169	232	1136
170	233	1130
171	233	1125
172	234	1119
173	234	1114
174	235	1108
175	235	1103
176	236	1099
177	237	1095
178	237	1091
179	238	1086
180	239	1081
181	239	1076
182	240	1071
183	240	1066
184	241	1061
185	241	1057
186	242	1052
187	242	1047
188	242	1042
189	243	1037
190	243	1033
191	244	1028
192	244	1024
193	245	1019
194	245	1015
195	246	1010
196	246	1006
197	247	1002
198	247	997
199	248	993
200	248	989
201	249	984
202	249	980
203	250	976
204	250	972
205	251	968
206	251	964
207	252	960
208	252	956
209	253	953
210	253	949
211	254	945
212	254	941
213	255	937
